885580162090024970 | 2021-09-09 19:39:23.926000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!db
885598763450794024 | 2021-09-09 20:53:18.836000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885599123166871603 | 2021-09-09 20:54:44.599000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885599860575854652 | 2021-09-09 20:57:40.411000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885601411264569444 | 2021-09-09 21:03:50.124000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885602175164743721 | 2021-09-09 21:06:52.252000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885602668142264340 | 2021-09-09 21:08:49.787000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885603425100910592 | 2021-09-09 21:11:50.260000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885603764692717619 | 2021-09-09 21:13:11.225000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885603908301496390 | 2021-09-09 21:13:45.464000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885604222542938142 | 2021-09-09 21:15:00.385000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885604323126575184 | 2021-09-09 21:15:24.366000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database 134123
885610050926825542 | 2021-09-09 21:38:09.980000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885620278640672799 | 2021-09-09 22:18:48.457000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885620472090341436 | 2021-09-09 22:19:34.579000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885620537982877707 | 2021-09-09 22:19:50.289000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database 241351sdfsv
885621780780302427 | 2021-09-09 22:24:46.595000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885622114151960596 | 2021-09-09 22:26:06.077000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885622289536806923 | 2021-09-09 22:26:47.892000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885623042145939466 | 2021-09-09 22:29:47.328000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885623147703976027 | 2021-09-09 22:30:12.495000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database 23fsaffwqfq
885623317145468968 | 2021-09-09 22:30:52.893000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database wef23fqd | att: https://cdn.discordapp.com/attachments/884130923384299561/885623316956729374/RLbingo.png
885623485668413480 | 2021-09-09 22:31:33.072000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885623571228008458 | 2021-09-09 22:31:53.471000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database 2q323f | att: https://cdn.discordapp.com/attachments/884130923384299561/885623571005718558/RLbingo.png
885623804234203136 | 2021-09-09 22:32:49.024000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885624006735196260 | 2021-09-09 22:33:37.304000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885624253976834108 | 2021-09-09 22:34:36.251000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885624341054767124 | 2021-09-09 22:34:57.012000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database
885624377935298601 | 2021-09-09 22:35:05.805000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database kadwlh7iwfy342
885624457585115136 | 2021-09-09 22:35:24.795000 | dfjgklagsa(884130923384299561) | Przemekkk#2137 | v!database wef09ufvqwef | att: https://cdn.discordapp.com/attachments/884130923384299561/885624457392181318/RLbingo.png
